Dea;false;aktivt;[];23;false;2;dea@mail.dk;1999-03-21;false
Rasmus;false;aktivt;[];23;false;6;rasjes2103@gmail.com;1999-03-21;false
Martin;true;passivt;[];26;false;5;martin@mail.dk;1996-03-11;false
Andreas;false;aktivt;[];26;false;10;andreas@mail.com;1996-03-11;false
Jesper;false;aktivt;[];17;false;23;fdsfswf@gmail.com;2004-12-21;false
Patrick;false;aktivt;[];17;false;12;asfdsf@mail.dk;2005-03-19;false
Rasmus;false;passivt;[];23;false;44;ras@live.dk;1999-03-21;false
Thomas;false;aktivt;[];16;false;33;asfasf@live.dk;2006-03-21;false
Andreas;false;passivt;[];16;false;99;asfasf@live.dk;2006-03-11;false
Thomas;false;aktivt;[];15;false;88;sdfdsf@live.dk;2007-06-11;false
Thomas;false;aktivt;[];15;false;83;sdfdsf@live.dk;2007-06-11;false
Rasmus;true;aktivt;[];15;false;455;asdfsdf@live.dk;2007-03-11;false
Lasse;true;aktiv;[BRYSTSVØMNING, BUTTERFLY];11;true;45;lasse@gmail.com;2010-12-12;false
;true;aktivt;[CRAWL];15;true;233;asdfa@live.dk;2007-10-20;false
Rasmus;true;aktivt;[CRAWL];23;true;204;assdasd@live.dk;1999-03-21;false
Thomas;true;aktivt;[CRAWL];72;false;393;sdfs@live.dk;1950-05-11;false
